Mnemonic,Time,Size,CNPHZS,Opcode
"ADC A,(HL)",7,1,+0V+++,8
"ADC A,(IX+N)",19,3,+0V+++,DD 8E XX
"ADC A,(IY+N)",19,3,+0V+++,FD 8E XX
"ADC A,r",4,1,+0V+++,88+r
"ADC A,HX",,2,+0V+++,DD 8C
"ADC A,HY",,2,+0V+++,FD 8C
"ADC A,LX",,2,+0V+++,DD 8D
"ADC A,LY",,2,+0V+++,FD 8D
"ADC A,N",7,2,+0V+++,CE XX
"ADC HL,BC",15,2,+0V ++,ED 4A
"ADC HL,DE",15,2,+0V ++,ED 5A
"ADC HL,HL",15,2,+0V ++,ED 6A
"ADC HL,SP",15,2,+0V ++,ED 7A
"ADD A,(HL)",7,1,+0V+++,86
"ADD A,(IX+N)",19,3,+0V+++,DD 86 XX
"ADD A,(IY+N)",19,3,+0V+++,FD 86 XX
"ADD A,r",4,1,+0V+++,8r
"ADD A,HX",,2,+0V+++,DD 84
"ADD A,HY",,2,+0V+++,FD 84
"ADD A,LX",,2,+0V+++,DD 85
"ADD A,LY",,2,+0V+++,FD 85
"ADD A,N",7,2,+0V+++,C6 XX
"ADD HL,BC",11,1,+0- --,9
"ADD HL,DE",11,1,+0- --,19
"ADD HL,HL",11,1,+0- --,29
"ADD HL,SP",11,1,+0- --,39
"ADD IX,BC",15,2,+0- --,DD 09
"ADD IX,DE",15,2,+0- --,DD 19
"ADD IX,IX",15,2,+0- --,DD 29
"ADD IX,SP",15,2,+0- --,DD 39
"ADD IY,BC",15,2,+0- --,FD 09
"ADD IY,DE",15,2,+0- --,FD 19
"ADD IY,IY",15,2,+0- --,FD 29
"ADD IY,SP",15,2,+0- --,FD 39
AND (HL),7,1,00P1++,A6
AND (IX+N),19,3,00P1++,DD A6 XX
AND (IY+N),19,3,00P1++,FD A6 XX
AND r,4,1,00P1++,Ar
AND HX,,2,00P1++,DD A4
AND HY,,2,00P1++,FD A4
AND LX,,2,00P1++,DD A5
AND LY,,2,00P1++,FD A5
AND N,7,2,00P1++,E6 XX
"BIT b,(HL)",12,2,-0 1+,CB 46+8*b
"BIT b,(IX+N)",20,4,-0 1+,DD CB XX 46+8*b
"BIT b,(IY+N)",20,4,-0 1+,FD CB XX 46+8*b
"BIT b,r",8,2,-0 1+,CB 4r+8*b
"CALL C,NN",17/10,3,------,DC XX XX
"CALL M,NN",17/10,3,------,FC XX XX
